1127,"42,971",,4,2
1128,"42,971",4,,5
1129,"42,972",3,,6
1130,"42,972",,6,7
1131,"42,972",5,4,
1132,"42,975",5,11,
1133,"42,975",,4,7
1134,"42,975",3,,8
1135,"42,976",4,9,
1136,"42,976",,5,6
1137,"42,976",8,,1
1138,"42,977",,8,3
1139,"42,977",4,7,
1140,"42,977",5,,2
1141,"42,978",5,,12
1142,"42,978",,8,4
1143,"42,978",4,3,
1144,"42,979",,6,3
1145,"42,979",5,1,
1146,"42,979",3,,6
1147,"42,982",7,6,
1148,"42,982",6,,5
1149,"42,982",,8,3
1150,"42,983",,6,5
1151,"42,983",3,8,
1152,"42,983",4,,9
1153,"42,984",4,,7
